image_path,severity,severity_numeric
Data/COVID19/COVID19(0).jpg,Mild,0
Data/COVID19/COVID19(1).jpg,Mild,0
Data/COVID19/COVID19(10).jpg,Mild,0
Data/COVID19/COVID19(100).jpg,Mild,0
Data/COVID19/COVID19(101).jpg,Mild,0
Data/COVID19/COVID19(102).jpg,Mild,0
Data/COVID19/COVID19(103).jpg,Mild,0
Data/COVID19/COVID19(104).jpg,Mild,0
Data/COVID19/COVID19(105).jpg,Mild,0
Data/COVID19/COVID19(106).jpg,Mild,0
Data/COVID19/COVID19(107).jpg,Mild,0
Data/COVID19/COVID19(108).jpg,Mild,0
Data/COVID19/COVID19(109).jpg,Mild,0
Data/COVID19/COVID19(11).jpg,Mild,0
Data/COVID19/COVID19(110).jpg,Mild,0
Data/COVID19/COVID19(111).jpg,Mild,0
Data/COVID19/COVID19(112).jpg,Mild,0
Data/COVID19/COVID19(113).jpg,Mild,0
Data/COVID19/COVID19(114).jpg,Mild,0
Data/COVID19/COVID19(115).jpg,Mild,0
Data/COVID19/COVID19(116).jpg,Mild,0
Data/COVID19/COVID19(117).jpg,Mild,0
Data/COVID19/COVID19(118).jpg,Mild,0
Data/COVID19/COVID19(119).jpg,Mild,0
Data/COVID19/COVID19(12).jpg,Mild,0
Data/COVID19/COVID19(120).jpg,Mild,0
Data/COVID19/COVID19(121).jpg,Mild,0
Data/COVID19/COVID19(122).jpg,Mild,0
Data/COVID19/COVID19(123).jpg,Mild,0
Data/COVID19/COVID19(124).jpg,Mild,0
Data/COVID19/COVID19(125).jpg,Mild,0
Data/COVID19/COVID19(126).jpg,Mild,0
Data/COVID19/COVID19(127).jpg,Mild,0
Data/COVID19/COVID19(128).jpg,Mild,0
Data/COVID19/COVID19(129).jpg,Mild,0
Data/COVID19/COVID19(13).jpg,Mild,0
Data/COVID19/COVID19(130).jpg,Mild,0
Data/COVID19/COVID19(131).jpg,Mild,0
Data/COVID19/COVID19(132).jpg,Mild,0
Data/COVID19/COVID19(133).jpg,Mild,0
Data/COVID19/COVID19(134).jpg,Mild,0
Data/COVID19/COVID19(135).jpg,Mild,0
Data/COVID19/COVID19(136).jpg,Mild,0
Data/COVID19/COVID19(137).jpg,Mild,0
Data/COVID19/COVID19(138).jpg,Mild,0
Data/COVID19/COVID19(139).jpg,Mild,0
Data/COVID19/COVID19(14).jpg,Mild,0
Data/COVID19/COVID19(140).jpg,Mild,0
Data/COVID19/COVID19(141).jpg,Mild,0
Data/COVID19/COVID19(142).jpg,Moderate,1
Data/COVID19/COVID19(143).jpg,Mild,0
Data/COVID19/COVID19(144).jpg,Mild,0
Data/COVID19/COVID19(145).jpg,Moderate,1
Data/COVID19/COVID19(146).jpg,Moderate,1
Data/COVID19/COVID19(147).jpg,Mild,0
Data/COVID19/COVID19(148).jpg,Mild,0
Data/COVID19/COVID19(149).jpg,Mild,0
Data/COVID19/COVID19(15).jpg,Mild,0
Data/COVID19/COVID19(150).jpg,Mild,0
Data/COVID19/COVID19(151).jpg,Mild,0
Data/COVID19/COVID19(152).jpg,Mild,0
Data/COVID19/COVID19(153).jpg,Mild,0
Data/COVID19/COVID19(154).jpg,Mild,0
Data/COVID19/COVID19(155).jpg,Mild,0
Data/COVID19/COVID19(156).jpg,Mild,0
Data/COVID19/COVID19(157).jpg,Mild,0
Data/COVID19/COVID19(158).jpg,Mild,0
Data/COVID19/COVID19(159).jpg,Mild,0
Data/COVID19/COVID19(16).jpg,Mild,0
Data/COVID19/COVID19(160).jpg,Mild,0
Data/COVID19/COVID19(161).jpg,Mild,0
Data/COVID19/COVID19(162).jpg,Mild,0
Data/COVID19/COVID19(163).jpg,Mild,0
Data/COVID19/COVID19(164).jpg,Mild,0
Data/COVID19/COVID19(165).jpg,Mild,0
Data/COVID19/COVID19(166).jpg,Mild,0
Data/COVID19/COVID19(167).jpg,Mild,0
Data/COVID19/COVID19(168).jpg,Mild,0
Data/COVID19/COVID19(169).jpg,Mild,0
Data/COVID19/COVID19(17).jpg,Mild,0
Data/COVID19/COVID19(170).jpg,Mild,0
Data/COVID19/COVID19(171).jpg,Mild,0
Data/COVID19/COVID19(172).jpg,Mild,0
Data/COVID19/COVID19(173).jpg,Mild,0
Data/COVID19/COVID19(174).jpg,Mild,0
Data/COVID19/COVID19(175).jpg,Mild,0
Data/COVID19/COVID19(176).jpg,Mild,0
Data/COVID19/COVID19(177).jpg,Mild,0
Data/COVID19/COVID19(178).jpg,Mild,0
Data/COVID19/COVID19(179).jpg,Mild,0
Data/COVID19/COVID19(18).jpg,Mild,0
Data/COVID19/COVID19(180).jpg,Mild,0
Data/COVID19/COVID19(181).jpg,Mild,0
Data/COVID19/COVID19(182).jpg,Mild,0
Data/COVID19/COVID19(183).jpg,Mild,0
Data/COVID19/COVID19(184).jpg,Mild,0
Data/COVID19/COVID19(185).jpg,Mild,0
Data/COVID19/COVID19(186).jpg,Mild,0
Data/COVID19/COVID19(187).jpg,Mild,0
Data/COVID19/COVID19(188).jpg,Mild,0
Data/COVID19/COVID19(189).jpg,Mild,0
